emotion,wav
angry,"[-0.02884341  0.00604594  0.04557163 ... -0.00188225 -0.00170926
 -0.00102746]"
disgust,"[-0.00729256 -0.00644273 -0.00382077 ...  0.01226784  0.01281054
  0.01394957]"
fear,"[-0.02852745 -0.0132131   0.00206081 ... -0.01155153 -0.01896998
 -0.02445265]"
happy,"[-0.03306273 -0.03126379 -0.02778267 ... -0.00015298  0.00101655
  0.00119626]"
neutral,"[-0.01930592 -0.01689665 -0.0161748  ... -0.01370354 -0.01447507
 -0.01445235]"
sad,"[-0.1089592  -0.09793961 -0.08368885 ...  0.02346224  0.02064899
  0.01720651]"
angry,"[ 0.01734348 -0.01468769 -0.0155239  ...  0.00126255  0.0036858
  0.00050447]"
disgust,[0.01434226 0.01663642 0.01734351 ... 0.01112796 0.00922901 0.00677518]
fear,"[ 0.03372277  0.0248253   0.01121755 ... -0.0051737  -0.00564812
 -0.00601772]"
happy,"[-0.15106536 -0.11654308 -0.08510231 ... -0.00712828 -0.00659806
 -0.00654002]"
neutral,[0.04367435 0.02455721 0.01567499 ... 0.00814475 0.00733541 0.00884276]
sad,"[-0.00776996  0.01319626  0.0278313  ... -0.02554589 -0.03132588
 -0.03372119]"
angry,"[-0.01299099 -0.02031093 -0.02500776 ... -0.02407543 -0.04260358
 -0.03998039]"
disgust,"[-0.02850738 -0.0299014  -0.03093136 ...  0.0420103   0.05306286
  0.05712032]"
fear,"[ 0.00913295  0.00521289  0.00199152 ... -0.00186885 -0.00231383
 -0.0032711 ]"
happy,"[-0.0571056  -0.04248447 -0.03019814 ...  0.01562899  0.02073715
  0.0258378 ]"
neutral,[0.04429017 0.03356305 0.02487323 ... 0.00841021 0.009344   0.009812  ]
sad,"[ 0.11454162  0.11280265  0.10494234 ... -0.00602932 -0.00685799
 -0.00720543]"
angry,"[ 0.06528097  0.05977709  0.05358693 ... -0.00060263 -0.00037961
 -0.00152396]"
disgust,"[ 1.8852716e-02  1.5631316e-02  1.1777561e-02 ...  3.1424049e-04
  5.6041001e-05 -7.5277471e-04]"
fear,"[-0.12833193 -0.13638441 -0.14287545 ...  0.00501138  0.00361553
  0.00307714]"
happy,"[ 0.00691341 -0.00845152 -0.03121753 ... -0.00394289 -0.00342757
 -0.00374932]"
neutral,[0.03135581 0.03206963 0.03205758 ... 0.0187932  0.01638022 0.01314844]
sad,"[-0.00745891 -0.01103708 -0.01213206 ...  0.00952617  0.01492701
  0.01921938]"
angry,"[-0.03014328 -0.02656923 -0.01369756 ... -0.0820135  -0.0845056
 -0.08732405]"
disgust,"[ 0.00268647 -0.0007656  -0.00429795 ... -0.02059964 -0.01936616
 -0.01427339]"
fear,"[-0.04157845 -0.04942171 -0.05722999 ... -0.00229307  0.00052692
 -0.00465148]"
happy,[0.02294208 0.02208552 0.02044    ... 0.00834547 0.0069104  0.00160334]
neutral,"[ 0.02209644  0.02079809  0.01751772 ... -0.04402011 -0.04873392
 -0.04311588]"
sad,"[ 0.01670089 -0.00349758 -0.04151432 ... -0.02284241 -0.02579868
 -0.02914392]"
angry,"[-0.00272399  0.00013854  0.00507217 ...  0.00639654  0.00846699
 -0.00018877]"
disgust,"[ 0.08228671  0.07486588  0.07374716 ... -0.00068481 -0.00597256
 -0.00050968]"
fear,"[-0.08950458 -0.08518904 -0.07641074 ... -0.07320309 -0.09113427
 -0.09285835]"
happy,"[-0.00880286 -0.0081595  -0.00941003 ...  0.02279072  0.01385366
  0.00045407]"
neutral,"[-0.00255308 -0.00395202 -0.00433792 ... -0.00610685 -0.00547426
 -0.00470163]"
sad,"[ 0.0362543   0.02421692  0.01617152 ... -0.01149485 -0.01065177
 -0.00340842]"
angry,"[ 0.00497389 -0.00552777 -0.01283757 ...  0.02104745  0.00396612
 -0.0044494 ]"
disgust,"[-0.00678285 -0.00929999 -0.00897242 ...  0.00766436  0.00689476
  0.00710625]"
fear,"[-0.00906269 -0.00198297  0.00212502 ... -0.00151917 -0.00499032
 -0.00719807]"
happy,"[-0.00720361 -0.00604387 -0.01337234 ... -0.00174575 -0.00230035
 -0.00194519]"
neutral,"[-0.0138961  -0.01447245 -0.00488222 ...  0.0010049   0.00151533
  0.00177412]"
sad,"[ 0.00924943  0.0101635   0.01117102 ... -0.00819717 -0.01140619
 -0.01332513]"
angry,"[ 0.00829069  0.02994803 -0.01067107 ... -0.00769077 -0.00764134
 -0.00755462]"
disgust,"[-0.00771851 -0.01284477  0.01392631 ... -0.02128379 -0.01320987
 -0.00139851]"
fear,"[-0.01167626 -0.00898552 -0.01010494 ... -0.0080066  -0.00683211
 -0.00560661]"
happy,"[-0.0298724   0.00107861  0.00856698 ...  0.00428033  0.00314733
  0.00230356]"
neutral,"[ 0.00471104  0.00476327  0.00500584 ...  0.00175545 -0.00655898
 -0.01703958]"
sad,"[-0.00581885  0.00236159  0.00244364 ... -0.00023637  0.00045868
  0.00016734]"
angry,"[-0.12173588 -0.04691314  0.01257651 ...  0.04417354  0.0494911
  0.05285288]"
disgust,"[ 0.04210595  0.04688604  0.05165224 ... -0.00215206 -0.00350018
 -0.00552591]"
fear,"[ 0.00622526  0.00161902 -0.00250042 ...  0.02837096  0.04830096
  0.057706  ]"
happy,"[-0.15297347 -0.14250378 -0.1294085  ... -0.0130293  -0.0274467
 -0.03905388]"
neutral,"[-0.11748145 -0.132311   -0.13718653 ...  0.00740319  0.00692805
  0.00706267]"
sad,"[-0.00971944 -0.01246382 -0.01521781 ...  0.00545819  0.0057937
  0.00530738]"
angry,"[-0.03654716 -0.04049971 -0.0462715  ...  0.00603192  0.00647683
  0.0062083 ]"
disgust,"[-0.00381898 -0.00374915 -0.0034821  ...  0.00070317  0.00088241
 -0.00026068]"
fear,"[ 0.01702921  0.00403078 -0.00414815 ... -0.0124167  -0.01644577
 -0.02258245]"
happy,"[ 0.00628262  0.0068491   0.00708352 ... -0.01849788 -0.02790857
 -0.03397999]"
neutral,"[-0.01097739 -0.01064056 -0.00953611 ...  0.00778713  0.00664382
  0.00505475]"
sad,"[-0.0115665  -0.01076068 -0.01077215 ... -0.00287761 -0.00481996
 -0.00509397]"
angry,"[-0.0160689  -0.05093201 -0.08939931 ... -0.30890656 -0.37821206
 -0.37409392]"
angry,"[-0.0184298  -0.01282778 -0.02533627 ... -0.00424422 -0.00389914
 -0.00284061]"
angry,"[ 0.02036776  0.02414751  0.03380187 ... -0.00590078 -0.00692768
 -0.00785514]"
disgust,"[ 0.01817298  0.00762197 -0.00431715 ...  0.0066234   0.00571755
  0.00480578]"
disgust,"[-0.00592523 -0.00548643 -0.00553356 ...  0.00357359  0.00330609
  0.00291664]"
disgust,"[-0.0121254  -0.01103552 -0.00693055 ... -0.01583424 -0.01252817
 -0.00655652]"
fear,[0.01073847 0.00663769 0.01949953 ... 0.00197413 0.00201826 0.00224271]
fear,"[-0.00599825 -0.00640739 -0.00823706 ... -0.00959414 -0.00872926
 -0.00936235]"
fear,"[-0.02174606 -0.0173658  -0.01046062 ...  0.00018556  0.00014087
  0.00040859]"
happy,"[ 0.01277328  0.00898822  0.01088646 ... -0.0034305  -0.00541649
 -0.00690184]"
happy,"[-0.00832532 -0.00817364 -0.00777555 ...  0.00618164  0.0066782
  0.00724835]"
happy,"[-0.05554338 -0.08377402 -0.10309005 ... -0.00172326 -0.00103332
 -0.00035769]"
neutral,"[ 0.0208151   0.0170543   0.00831476 ... -0.00549068 -0.00438332
 -0.00416869]"
sad,[0.04779986 0.04479537 0.04289658 ... 0.00341628 0.00345441 0.00376807]
sad,"[-0.01349475 -0.00590901  0.00250448 ...  0.00117302  0.00080273
  0.00036678]"
sad,"[-0.00416597 -0.00431081 -0.00436768 ... -0.00255176 -0.00399085
 -0.00464906]"
angry,"[-0.07682613 -0.07668854 -0.06498174 ... -0.02086483 -0.02241394
 -0.00421435]"
disgust,[0.01802841 0.01880691 0.01619162 ... 0.00066207 0.00154034 0.00207319]
fear,"[-0.01585668 -0.01238389 -0.00435829 ...  0.05809584  0.05695394
  0.0556758 ]"
happy,"[ 0.0243918   0.01361382  0.00663032 ... -0.00743243 -0.00615191
 -0.0059443 ]"
neutral,[0.02581531 0.02249071 0.01502432 ... 0.00411211 0.00389605 0.00354285]
sad,"[ 0.01302704  0.01119926  0.01165166 ... -0.00584742 -0.00624245
 -0.00537794]"
angry,"[-0.10678925 -0.0634185  -0.02579336 ...  0.0309486   0.03024249
  0.02924957]"
disgust,"[-0.01657172 -0.01726825 -0.01799604 ... -0.00176578 -0.0006856
  0.00016306]"
fear,"[-0.00349583 -0.00567212 -0.00839883 ... -0.01433589 -0.01440748
 -0.01429138]"
happy,[0.05092803 0.03399296 0.01561533 ... 0.00934611 0.01145121 0.0154999 ]
neutral,"[-0.01937774 -0.01576835 -0.01239211 ...  0.00816171  0.00807103
  0.00834218]"
sad,"[-0.02843215 -0.03275043 -0.03902414 ...  0.00251339  0.0048363
  0.00587258]"
angry,"[-0.10349188 -0.13381043 -0.15220873 ... -0.01263897 -0.01976232
 -0.02443617]"
disgust,"[ 0.02310288  0.02084405  0.01719909 ...  0.00093101 -0.00015684
 -0.00222848]"
fear,"[ 0.00989888  0.01051949  0.00905694 ... -0.10646974 -0.12363175
 -0.13727435]"
happy,[0.04138543 0.04401551 0.04644863 ... 0.02271171 0.01665971 0.01050168]
neutral,"[-0.01988087 -0.02047184 -0.01945913 ... -0.00237492 -0.00215639
 -0.00124004]"
sad,"[-0.00072155 -0.00273766 -0.00373696 ...  0.00084688  0.001709
  0.00177024]"
angry,"[-0.01406849 -0.00950989 -0.0084294  ... -0.1182749  -0.05726964
  0.00399753]"
disgust,[0.00951874 0.00607282 0.00339624 ... 0.01209221 0.01712473 0.02759583]
fear,"[-0.01973165 -0.01959503 -0.02055294 ...  0.03368233  0.03923932
  0.03857332]"
happy,"[-0.13754907 -0.15525532 -0.14463195 ... -0.01715414 -0.02392261
 -0.03303124]"
neutral,"[-0.01977942 -0.01916258 -0.01872299 ... -0.00071863  0.00063658
  0.00101745]"
sad,"[-0.02746968 -0.02684841 -0.02509352 ... -0.00166426 -0.00142339
  0.00033558]"
angry,[0.04411991 0.04138697 0.03503984 ... 0.00180283 0.0016044  0.00193098]
disgust,"[-0.00035773 -0.00284857 -0.00420089 ... -0.01557637 -0.01478586
 -0.00946848]"
fear,"[ 0.02183813  0.02107035  0.01775119 ... -0.0187154  -0.0123024
 -0.01043786]"
happy,[0.03698606 0.03146164 0.03123065 ... 0.00040687 0.00199241 0.00308246]
neutral,"[ 0.02676142  0.01656936  0.00476301 ... -0.0032123  -0.00280944
 -0.00278421]"
sad,"[-0.01096105 -0.01066665 -0.01045721 ...  0.00199181  0.00626534
  0.00930105]"
angry,"[ 0.02580311 -0.00137134 -0.01779311 ...  0.03871734  0.0216399
  0.0055395 ]"
disgust,"[-0.00151948 -0.00060032  0.00012845 ...  0.0157132   0.01482971
  0.01341561]"
fear,[0.01766538 0.01670882 0.0160914  ... 0.03805977 0.04636469 0.05504202]
happy,[0.05011844 0.04884031 0.04578148 ... 0.03107439 0.0299829  0.02916727]
neutral,"[ 0.02335148  0.02791687  0.03164851 ... -0.01155385 -0.00987141
 -0.00755791]"
sad,"[ 0.01053137  0.00964344  0.00909704 ... -0.01513067 -0.01442765
 -0.01348491]"
angry,"[ 0.00627825  0.00257306  0.00025907 ... -0.00196469 -0.00269706
  0.00088753]"
disgust,[0.00694137 0.00558235 0.00452104 ... 0.00550758 0.00930916 0.00581175]
fear,"[-0.02688972 -0.01002894 -0.00250027 ... -0.00072284 -0.00236559
 -0.00250204]"
happy,[0.01717444 0.02178549 0.0249565  ... 0.07363874 0.08041432 0.08745513]
neutral,[0.00542906 0.00384081 0.0016949  ... 0.00939906 0.00968164 0.00958075]
sad,"[ 0.01460879  0.01306165  0.01283292 ... -0.00519151 -0.00478688
 -0.00442387]"
angry,"[-0.07578769 -0.09100563 -0.11085417 ...  0.00471182  0.00436171
  0.00561322]"
disgust,"[-0.00143852 -0.0016195  -0.00102525 ...  0.00939755  0.0097437
  0.00911542]"
fear,"[ 0.0007746  -0.00342922  0.00447678 ... -0.00870387 -0.00671396
 -0.00611492]"
happy,"[-0.00518473 -0.00370708 -0.00026578 ... -0.00336678 -0.00285382
 -0.00225457]"
neutral,"[ 0.00389416  0.00347142  0.00537101 ... -0.00276468 -0.00237967
 -0.00207923]"
sad,[0.00421053 0.00697001 0.00924632 ... 0.0042803  0.00428873 0.00404072]
angry,"[ 0.00935212  0.00928839  0.01791056 ... -0.05485857 -0.01802405
 -0.00859231]"
disgust,"[-0.00799494 -0.01853724 -0.02966131 ... -0.00434282 -0.00501728
 -0.00608236]"
fear,"[-0.05670055 -0.03380672 -0.0048355  ...  0.04668464  0.05041705
  0.05160251]"
happy,"[-0.0975441  -0.09049153 -0.08418612 ... -0.00185743 -0.00336778
 -0.00696745]"
neutral,"[-0.01842437 -0.01500337 -0.01112796 ...  0.001051    0.00056722
 -0.00049985]"
sad,"[-0.00277231  0.01077293 -0.00270163 ... -0.00080178 -0.00119579
 -0.00049999]"
angry,"[-0.04835664 -0.00827873  0.05170068 ...  0.00370414 -0.0113765
 -0.02564657]"
disgust,"[-0.0013184   0.00437471 -0.00521123 ...  0.02201699  0.01954593
  0.01744181]"
fear,"[-0.00922203 -0.01622768 -0.01326423 ... -0.02709421 -0.03169394
 -0.03530274]"
happy,[0.02810966 0.0272928  0.02211853 ... 0.00847346 0.00516785 0.000784  ]
neutral,"[ 0.04570086  0.06643026  0.08885591 ... -0.00526292 -0.00761442
 -0.00950933]"
sad,"[-0.01065329  0.0011284   0.00827794 ...  0.00168093  0.00158638
  0.00140582]"
angry,"[-0.13908374 -0.12300782 -0.10530725 ...  0.05081449 -0.03326374
  0.00611386]"
disgust,"[-0.10175163 -0.15358053 -0.19919324 ...  0.1086342   0.14148603
  0.20388938]"
fear,[0.00800753 0.00732494 0.00648852 ... 0.03145832 0.03522041 0.03844396]
happy,"[-0.10424967 -0.12367105 -0.13192774 ...  0.00411119  0.00422691
  0.0034734 ]"
neutral,[0.01490058 0.01667499 0.01814548 ... 0.00173423 0.00039577 0.00022008]
sad,"[ 0.00636219  0.00713262  0.00771738 ...  0.00238108 -0.00045199
 -0.00434335]"
angry,"[ 0.36555701  0.4242832   0.4777346  ... -0.01500164 -0.10258032
 -0.13000517]"
angry,[0.12100016 0.08420232 0.08626289 ... 0.00401444 0.00376163 0.00451524]
angry,"[ 0.05500738  0.06334054  0.07136988 ... -0.00237528 -0.00285578
 -0.00242062]"
disgust,"[-0.02137716 -0.03593737 -0.04790208 ... -0.01327289 -0.00947109
 -0.00530401]"
disgust,"[ 0.03071506  0.02866708  0.02330477 ... -0.0116992  -0.0183043
 -0.01870388]"
disgust,"[-0.11874362  0.00297573  0.1131543  ... -0.30701715 -0.42925248
 -0.43842643]"
fear,[0.07397912 0.18280667 0.2612306  ... 0.00175891 0.00343289 0.00195824]
fear,"[-0.01381215 -0.01481933 -0.01564721 ...  0.00361857  0.00334624
  0.00347568]"
fear,[0.00719449 0.00743357 0.00575127 ... 0.00223467 0.00275802 0.0028938 ]
happy,[0.01035315 0.00532768 0.0162825  ... 0.00753978 0.00617026 0.00537223]
happy,"[-0.03257322 -0.04469175 -0.0569172  ... -0.00223782 -0.00216517
 -0.00313338]"
happy,"[-0.02493423 -0.0249649  -0.02531205 ...  0.01123399  0.01132453
  0.01082649]"
neutral,[0.07281078 0.07372749 0.07079289 ... 0.00178702 0.00242175 0.00305483]
sad,"[ 0.00376329  0.00290971  0.00303589 ... -0.01266622 -0.01252519
 -0.01265024]"
sad,"[-0.00628452 -0.00507336 -0.00405848 ...  0.00711329  0.00707679
  0.00707071]"
sad,[0.00886248 0.01118653 0.01178512 ... 0.00133549 0.00157498 0.00161057]
angry,[0.08764341 0.10040919 0.11405708 ... 0.00608865 0.00656301 0.00645512]
disgust,"[ 0.06468549  0.04578638  0.03872272 ... -0.00685342 -0.00747056
 -0.00777458]"
fear,"[ 0.11885657  0.15381211  0.19342028 ... -0.01904823 -0.01930524
 -0.01914479]"
happy,"[ 0.04320484  0.03268988  0.02629047 ... -0.0076432  -0.00670491
 -0.00609286]"
neutral,"[-0.03453142 -0.03371076 -0.03318889 ...  0.04172319  0.03819015
  0.03365999]"
sad,[0.01912743 0.01728965 0.01562896 ... 0.00284544 0.00264746 0.00194191]
angry,"[-0.07271903 -0.07437562 -0.07266732 ...  0.00037861 -0.01074385
 -0.01715512]"
disgust,"[-0.0408261  -0.03900595 -0.03755761 ...  0.00214912  0.0030253
  0.00359448]"
fear,"[ 0.02314879  0.02061916  0.01915402 ... -0.00361307 -0.00448135
 -0.00557386]"
happy,"[-0.00623529 -0.00660904 -0.00844148 ...  0.10189825  0.09765159
  0.09472483]"
neutral,"[ 0.01999159  0.02005623  0.01907302 ... -0.00400882 -0.00589737
 -0.00936313]"
sad,"[ 0.0069744   0.01837374  0.02329686 ... -0.0095166  -0.00942561
 -0.01051438]"
angry,"[ 0.07688285  0.06572375  0.06024789 ... -0.00727409 -0.00851087
 -0.00892078]"
disgust,"[-0.02207142 -0.07979377 -0.1233604  ... -0.17154011 -0.11657047
 -0.05826692]"
fear,"[ 0.00623422 -0.00289762  0.00398935 ... -0.01507778 -0.01318553
 -0.01255243]"
happy,"[-0.00695802  0.0011205   0.01186349 ... -0.00828515 -0.00720523
 -0.0065511 ]"
neutral,"[-0.00690475 -0.00446273 -0.00641827 ... -0.02935339 -0.02376475
 -0.018139  ]"
sad,[0.01005399 0.00890043 0.00340636 ... 0.04160177 0.03767544 0.0327515 ]
angry,"[-0.02024132 -0.03316883 -0.04674064 ... -0.04848099 -0.06540888
 -0.0635571 ]"
disgust,"[-0.02692005 -0.16460547 -0.29400808 ...  0.5963019   0.6445656
  0.5388393 ]"
fear,"[-1.22995205e-01 -1.03212915e-01 -7.93604180e-02 ... -2.17700232e-04
 -5.66638082e-05 -4.51116764e-04]"
happy,"[ 0.02704935  0.02918703  0.03060909 ... -0.00931651 -0.00874044
 -0.00489074]"
neutral,[0.07292689 0.08856653 0.09553982 ... 0.00947278 0.01053292 0.01137591]
sad,"[-0.0013867   0.00039964  0.00050695 ... -0.01433575 -0.01463123
 -0.01655982]"
angry,"[ 0.09616338  0.08217984  0.0690918  ... -0.00259028 -0.0029982
 -0.00355644]"
disgust,"[-0.06081636 -0.0527122  -0.04678543 ... -0.00226048 -0.0006008
  0.00108065]"
fear,"[ 0.0898471   0.08396906  0.07548752 ... -0.00957396 -0.00923787
 -0.01031752]"
happy,"[-0.04233811 -0.04522602 -0.05012786 ...  0.00231596  0.00167455
  0.00163049]"
neutral,"[-0.00851155 -0.00433125 -0.00240834 ... -0.01399569  0.00895597
  0.01747014]"
sad,"[ 0.00813273  0.00906601  0.01045434 ... -0.00830784 -0.00945667
 -0.00862007]"
angry,"[ 0.15824905  0.18946579  0.20922251 ... -0.01568666 -0.02149123
 -0.02805893]"
disgust,"[ 1.1924317e-01  1.2514326e-01  1.2748970e-01 ... -5.0461287e-05
  3.9793621e-03  6.3691777e-03]"
fear,"[-0.05301142 -0.05202146 -0.05081307 ...  0.05997367  0.05012213
  0.04310358]"
happy,"[-0.2591622  -0.21450321 -0.1667738  ... -0.00501624 -0.00154941
  0.00303212]"
neutral,[0.1988675  0.2130157  0.21539159 ... 0.02798136 0.02629211 0.02300356]
sad,"[-0.04838259 -0.05611308 -0.06163182 ...  0.02222707  0.01994342
  0.01672387]"
angry,"[ 0.09495902  0.09440301  0.09025981 ... -0.08403851 -0.08013311
 -0.07410853]"
disgust,"[-0.03418744 -0.03560317 -0.03848778 ... -0.01521085 -0.00631371
 -0.01595094]"
fear,"[-0.01266436  0.00410679 -0.0309615  ...  0.00418813  0.00508122
  0.00608362]"
happy,"[ 0.01960041  0.01739321  0.01320768 ... -0.13558961 -0.14468338
 -0.16133341]"
neutral,[0.00191758 0.00244013 0.00210885 ... 0.01152389 0.01331563 0.01084077]
sad,[0.00597571 0.00469916 0.00210823 ... 0.03925009 0.04030032 0.04118309]
angry,"[-0.13348313 -0.13681562 -0.14098787 ...  0.13611911  0.20273744
  0.22068928]"
disgust,"[-0.01907614 -0.01089183 -0.00584664 ...  0.06661614  0.06461245
  0.05638983]"
fear,[0.01958597 0.03839458 0.01907558 ... 0.00363872 0.00402026 0.00306277]
happy,"[-0.00202872  0.00144848  0.00377379 ... -0.01339553 -0.01177669
 -0.0088862 ]"
neutral,"[-0.00847635 -0.01167559 -0.00798488 ...  0.01676341  0.0157424
  0.01167152]"
sad,"[-0.00541466 -0.00488152 -0.0025963  ...  0.00294118  0.00319846
  0.00314412]"
angry,"[-0.08308244 -0.04587657 -0.01314087 ... -0.0018543  -0.00355903
 -0.0036494 ]"
disgust,"[ 0.15926932  0.13859512  0.13026452 ... -0.00080275  0.00075884
 -0.00048681]"
fear,"[-0.00730199 -0.00682372 -0.00497868 ... -0.00303627 -0.00849849
 -0.00914817]"
happy,"[ 1.19530574e-04 -1.52872584e-03 -2.27374767e-04 ... -1.57506809e-01
 -1.78423405e-01 -1.64738744e-01]"
neutral,"[-0.01763478 -0.01028764 -0.02094729 ...  0.01024466  0.01008342
  0.0098464 ]"
sad,"[ 0.00803813  0.01033     0.01122792 ... -0.00151441 -0.00092519
 -0.00147245]"
angry,"[ 0.15411942  0.05208142 -0.09198742 ...  0.07873262  0.06867907
  0.06095731]"
disgust,"[-0.0172516  -0.00646745 -0.01377913 ... -0.12145308 -0.06293199
  0.02740734]"
fear,"[-0.22370046 -0.21689442 -0.21975566 ... -0.0475523  -0.0576853
 -0.02149006]"
happy,"[ 0.00297237 -0.00301716 -0.00373969 ... -0.00912275 -0.00930248
 -0.004165  ]"
neutral,[0.07336813 0.07355213 0.07239339 ... 0.04230511 0.04288599 0.04555903]
sad,"[ 0.00121973 -0.00600684  0.00042572 ...  0.00646116  0.00767491
  0.00774044]"
angry,[0.01071071 0.01293645 0.01595418 ... 0.00452962 0.0056629  0.00562352]
disgust,"[9.8652404e-04 1.0900523e-05 1.5310561e-03 ... 5.3125187e-03 5.0452407e-03
 4.0590391e-03]"
fear,"[-0.0033167  -0.00278628 -0.00193421 ...  0.00654329  0.00660244
  0.00648818]"
happy,"[-0.02587761 -0.02579926 -0.02552874 ...  0.00798158  0.00808878
  0.00702038]"
neutral,"[-0.00260224  0.00107462  0.00149894 ... -0.00780675 -0.00539227
 -0.00344573]"
sad,"[ 0.0174658   0.01687324  0.01503596 ... -0.00323888 -0.00319844
 -0.00276398]"
angry,"[-0.20821713 -0.250669   -0.32623294 ... -0.4864015  -0.34820592
 -0.25872532]"
angry,"[-0.00697365 -0.00787929 -0.00875133 ...  0.00657318  0.00720388
  0.00594149]"
angry,"[ 0.04324738  0.06217163  0.07689212 ... -0.00505987 -0.00475567
 -0.00484967]"
disgust,[0.0085463  0.00807685 0.00818378 ... 0.01328805 0.01323332 0.01213387]
disgust,"[ 0.00441166  0.00353761  0.00334233 ... -0.00581595 -0.00688967
 -0.00799689]"
disgust,"[-0.00033793  0.00062391  0.00084569 ...  0.00711022  0.00827666
  0.00873357]"
fear,"[ 3.3540437e-05  5.8336643e-04  3.9059488e-04 ... -1.5813299e-01
 -1.9567998e-01 -2.3198700e-01]"
fear,"[ 0.0083615   0.00921593  0.00822332 ... -0.00139045 -0.00036036
  0.00019479]"
fear,[0.00995064 0.00901171 0.00804134 ... 0.0039835  0.00661999 0.01176268]
happy,"[-0.00581335 -0.0029932  -0.01113534 ...  0.00495085  0.00726131
  0.00490074]"
happy,"[-0.00801169 -0.01261103 -0.01638729 ... -0.00172074 -0.00246638
 -0.00281112]"
happy,[0.00714487 0.00955156 0.01190279 ... 0.00074566 0.00095809 0.00158253]
neutral,"[ 0.00831574  0.01058862  0.01055271 ... -0.00105514 -0.00238291
 -0.00264558]"
sad,"[-0.00401957 -0.00348507 -0.00336131 ...  0.00498046  0.00436584
  0.00416944]"
sad,[0.00301849 0.00461955 0.00591543 ... 0.0006097  0.00134156 0.0012256 ]
sad,[0.0363965  0.03499554 0.03060425 ... 0.00181107 0.00097821 0.00023601]
angry,"[ 0.00364899 -0.00668867 -0.00923654 ...  0.03036555  0.03002996
  0.0225943 ]"
disgust,"[ 0.00453433 -0.00371361 -0.01287715 ... -0.01136846 -0.0108401
 -0.01072587]"
fear,"[-0.00885603 -0.01212858 -0.01682294 ... -0.02922309 -0.02885786
 -0.02898981]"
happy,"[-0.02000585 -0.00067403  0.0223281  ...  0.02330376  0.02163759
  0.01823863]"
neutral,"[-0.01466932 -0.0090827  -0.00206175 ...  0.00307671  0.00189032
  0.00167237]"
sad,"[-0.01290237 -0.01418085 -0.01533929 ... -0.00019944 -0.00226896
 -0.00462145]"
angry,"[ 0.00909158 -0.00787013 -0.02577741 ... -0.01091021 -0.01209184
 -0.0117562 ]"
disgust,"[ 0.00296773  0.00378362  0.00454977 ... -0.00707137 -0.00637708
 -0.00696061]"
fear,"[ 0.01858183  0.02019572  0.01988656 ... -0.00267422 -0.00282201
 -0.0021815 ]"
happy,"[ 0.05733003  0.04264395  0.02631148 ... -0.00798302 -0.0055551
 -0.00434013]"
neutral,"[-0.0327706  -0.03189779 -0.03111531 ...  0.01444071  0.01610384
  0.01889433]"
sad,"[-0.03659585 -0.03812824 -0.03901378 ... -0.01329305 -0.01328574
 -0.01286753]"
angry,"[-0.06624443 -0.05521569 -0.04294302 ... -0.00233869 -0.00150407
 -0.00098457]"
disgust,"[-0.0093682  -0.0088969  -0.00858402 ... -0.00849422 -0.00973248
 -0.01082785]"
fear,"[-0.04558311 -0.0477683  -0.05069274 ... -0.00801755 -0.00792114
 -0.00869546]"
happy,"[-0.00192202 -0.00025464  0.00209477 ... -0.0113091  -0.01183609
 -0.01217168]"
neutral,"[-0.02078874 -0.01642662 -0.01234498 ... -0.00838748 -0.00991961
 -0.01126362]"
sad,"[-0.00992337 -0.00798902 -0.00464931 ...  0.00290738  0.00257887
  0.00343382]"
angry,[0.07000813 0.0831617  0.0953714  ... 0.00721639 0.00827282 0.0089612 ]
disgust,"[-0.00445347 -0.00549712 -0.0065022  ... -0.0017553  -0.00124433
 -0.00251845]"
fear,[0.00708712 0.00540422 0.00315879 ... 0.00557158 0.00818253 0.00925547]
happy,"[ 0.09351078  0.08215855  0.06105191 ...  0.00168183  0.00011361
 -0.00207309]"
neutral,"[-0.00766982 -0.0084469  -0.01018708 ... -0.0012755  -0.00270124
 -0.00297509]"
sad,"[-0.00782484 -0.00771942 -0.00623437 ...  0.00456896  0.00580751
  0.0063069 ]"
angry,"[ 0.00896792  0.00300123  0.0003905  ... -0.00968418 -0.00799501
 -0.00556252]"
disgust,"[-0.03934501 -0.04581701 -0.05093188 ... -0.01197167 -0.0130209
 -0.01412867]"
fear,"[-0.00466694 -0.00458978 -0.00468691 ...  0.00186877  0.00189847
  0.00150512]"
happy,"[-0.03927212 -0.04383259 -0.04555838 ...  0.01659344  0.03101047
  0.05748164]"
neutral,"[-0.03847783 -0.04447675 -0.04588859 ...  0.00199948 -0.00658206
 -0.01360803]"
sad,"[-0.0068701  -0.00724189 -0.0071824  ...  0.00285682  0.00241354
  0.00194586]"
angry,"[-0.01104582 -0.00997686 -0.0093961  ...  0.01002506  0.01450387
  0.01454122]"
disgust,"[-0.01855684 -0.0317545  -0.041144   ... -0.00027252  0.00161922
  0.00061065]"
fear,"[-0.02303189 -0.02807197 -0.03060975 ... -0.00861976 -0.00755787
 -0.00702037]"
happy,"[-0.14495061 -0.12836505 -0.10977636 ...  0.04291353  0.04775635
  0.04984799]"
neutral,"[-0.0046535  -0.00385052 -0.00246538 ...  0.00037823  0.00378526
  0.00786939]"
sad,"[-0.0081366  -0.00703128 -0.00634427 ...  0.00578596  0.00595877
  0.00749286]"
